segment_id,start_ms,end_ms,duration_s,text
1,0,4099,4.10,Tanzania home to some of the most breathtaking wildlife on Earth
2,5000,12319,7.32,Here in the heart of East Africa the Great Serengeti National Park hosts one of nature's greatest spectacles the Great Migration
3,13739,21840,8.10,Over a million wildebeest zebras and gazelles travel vast distances in search of fresh grass braving rivers filled with crocodiles
4,22639,24600,1.96,But predators are never far behind
5,24600,29780,5.18,And lions the kings of the savannah stalk their prey with patience and precision
6,30700,35419,4.72,Cheetahs the fastest land animals chase down their targets in a thrilling display of speed
7,36299,39900,3.60,In the lush Terenggara National Park giant elephants roam freely
8,40639,44799,4.16,These intelligent creatures form strong family bonds protecting their young from threats
9,45560,51659,6.10,And in the ancient Ngorongoro crater the endangered black rhino finds refuge a rare sight in the wild
10,52880,59680,6.80,Tanzania's wildlife is a treasure like no other a delicate balance of nature that reminds us of the beauty and power of the wild
